,fiber_100g,proteins_100g,vitamin-a_100g,vitamin-c_100g,fat_100g,carbohydrates_100g,sugars_100g,sodium_100g
116,0.5,0.5,0.0,0.063,0.5,81.5,80.8,0.0118
117,2.4,11.0,0.0,0.0,7.9,43.55,6.4,0.748031496062992
118,0.7,24.8,3e-05,0.0,9.5,0.6,0.1,1.27952755905512
119,0.0,0.0,0.0,0.00973,0.0,48.6,43.2,0.784
120,1.75,1.0,0.0,0.0097,0.0,57.0,51.0,0.99
121,1.2425,1.8,2.085e-05,0.0024325,0.0,47.0,41.0,1.118
122,2.8,14.08,4.23e-05,0.0,6.34,64.79,7.04,0.718
123,3.33,10.0,0.0,0.0,23.3,63.3,0.0,0.833
124,5.3,12.28,5.25e-05,0.0,7.89,64.91,3.51,0.702
125,2.82,15.5,4.23e-05,0.0,5.64,66.3,7.05,0.607
126,2.82,15.5,4.23e-05,0.0,7.04,64.8,7.04,0.761
127,10.7,10.7,0.0,0.0,3.57,42.9,7.14,0.357
128,4.0,9.9,2.5e-05,3.75e-05,13.600000000000001,54.625,3.5,0.759842519685039
129,3.57,10.7,0.0,0.0,3.57,75.0,7.14,1.89
130,2.791305795431052,7.5054788666454115,0.0007682122314571278,0.03303264557251909,13.356505203965602,28.027689428190307,13.07710752101757,0.4120567748617073
131,13.3,0.0,0.0,0.16101749999999998,0.0,93.3,73.3,0.0
132,0.0,5.56,0.0,0.0,1.56,10.4,9.78,0.0444
133,3.2,4.8,7.7e-05,0.0,15.9,57.4,27.3,0.169
134,3.85,3.85,0.0,0.001035,26.9,61.5,34.6,0.154
135,0.0,3.92,0.0,0.0,27.4,62.7,35.3,0.176
136,2.33,9.3,0.0,0.0,4.65,51.2,6.98,0.465
137,2.35,7.05,0.0,0.0,30.6,61.1,30.6,0.247
138,2.94,5.88,0.0,0.0,26.5,64.7,32.4,0.176
139,4.0,4.0,0.0,0.0,28.0,64.0,32.0,0.26
140,2.33,9.3,0.0,0.0,3.49,51.2,4.65,0.512
141,3.7,3.7,0.0,0.001035,18.075000000000003,63.0,33.3,0.167
142,4.0,4.0,0.0,0.0,28.0,64.0,32.0,0.16
143,0.0,3.85,0.0,0.0,23.1,65.4,38.5,0.231
144,0.0,3.85,0.0,0.0,23.1,65.4,38.5,0.231
145,0.0,3.57,0.0,0.0,25.0,67.9,28.6,0.375
146,2.0,2.0,0.0,0.00625,4.5,23.0,13.0,0.09
147,4.0,4.0,0.0,0.0,28.0,64.0,36.0,0.14
148,3.85,7.69,0.000115,0.0,19.2,69.2,19.2,0.308
149,3.33,10.0,0.0001,0.0,16.7,66.7,3.33,0.8
150,3.33,13.3,0.0,0.0,16.7,63.3,3.33,0.9
151,3.33,10.0,0.0,0.0,20.0,66.7,3.33,0.767
152,3.33,10.0,0.0,0.0,16.7,66.7,0.0,0.833
153,3.33,10.0,0.0,0.0,16.7,66.7,0.0,0.833
154,5.4,5.1,0.0,0.001035,32.4,57.8,34.0,0.315
