,fiber_100g,proteins_100g,vitamin-a_100g,vitamin-c_100g,fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,nutrition_grade_fr
77,6.06,3.03,0.000364,0.0109,0.0,21.2,12.1,0.485,a
78,4.62,4.62,0.0,0.000923,1.54,15.4,2.31,0.1,a
79,0.0,47.0,0.0,0.0,0.0,23.5,9.41,1.69,d
80,1.8,4.0,5.515e-05,0.0,15.8,56.8,30.1,0.11,d
81,1.2,0.6,5e-05,0.012,0.0,1.8,0.0,2.91338582677165,c
82,2.33,9.3,0.0,0.0,3.49,53.5,4.65,0.535,b
83,0.5,13.8,0.00016075,0.0,9.7,2.5,0.7,0.405511811023622,c
84,2.5,1.0,0.0002585499999999,0.04885,2.5,5.0,4.0,0.216535433070866,a
85,1.7,6.7,7.8e-06,0.000468,18.0,72.0,48.0,0.078740157480315,e
86,8.93,10.7,0.00021925,0.02275,23.2,58.9,21.4,0.0,c
87,0.5,12.3,3.2550000000000005e-05,0.000275,3.3,7.1,2.8,0.188976377952756,b
88,1.0,3.0,0.0,0.0072,14.0,22.5,0.0,0.195,c
89,3.57,0.0,0.000107,0.0129,32.1,53.6,3.57,0.429,d
90,3.57,3.57,0.0,0.0214,32.1,53.6,0.0,0.393,d
91,3.0,3.0,7.495e-05,0.0,7.3,56.1,43.1,0.0394,d
92,0.0,2.08,0.0,0.00745,0.625,8.75,7.92,0.0,b
93,10.6,7.6,0.0,0.0,45.6,31.3,26.8,0.08,d
94,0.0,0.0,0.0,0.204,1.4,94.5,70.3,0.0,d
95,2.7,5.1,2.675e-05,0.0,17.7,68.5,44.4,0.318897637795276,e
96,2.5,6.1,7.5e-05,0.018,13.3,70.2,35.7,0.326771653543307,d
97,0.0,0.0,0.0008571,0.0,85.71,0.0,0.0,0.393,e
98,1.5,6.7,0.00017925,0.003,20.275,59.4,23.4,0.307086614173228,c
99,6.2,21.88,0.0,0.0,50.0,21.88,3.12,0.438,d
100,0.0,0.0,7.5e-06,1.25,0.0,5.0,5.0,24.0,e
101,0.0,0.0,2.5e-05,0.0025,0.0,0.0,0.0,0.333,c
102,0.0,0.0,0.0,0.012,0.0,20.0,19.0,0.11,c
103,0.0,0.303,9.09e-06,0.0,0.152,6.97,6.36,0.00606,e
104,2.791305795431052,7.5054788666454115,0.0007682122314571,0.033032645572519,13.356505203965602,28.027689428190307,13.07710752101757,0.4120567748617073,b
105,0.0,0.0,0.0,0.00333,0.0,7.5,5.56,0.00139,b
106,0.521,8.33,0.000156,0.0,16.7,16.7,1.04,0.464,d
107,9.9,4.8,0.0,0.0008825,35.3,42.2,23.6,0.393700787401575,d
108,3.7,8.1,0.000132225,0.005925,3.2,71.0,0.7,0.0,a
109,2.791305795431052,7.5054788666454115,0.0007682122314571,0.033032645572519,13.356505203965602,28.027689428190307,13.07710752101757,0.4120567748617073,b
110,2.791305795431052,7.5054788666454115,0.0007682122314571,0.033032645572519,13.356505203965602,28.027689428190307,13.07710752101757,0.4120567748617073,b
111,4.4,2.3,3.325e-05,0.0,4.9,62.9,45.4,0.0787,c
112,3.3,3.2,5.41e-05,0.0,8.6,57.1,44.1,0.106,d
113,2.5,12.3,0.0,0.0,1.7,73.1,3.5,0.0,a
114,1.4,4.4,0.00086975,0.04103,0.6,33.6,0.6,0.0393700787401575,a
115,2.1,11.9,0.00021475,0.00109,1.8,69.9,0.5,0.0,a
116,0.5,0.5,0.0,0.063,0.5,81.5,80.8,0.0118,d
117,2.4,11.0,0.0,0.0,7.9,43.55,6.4,0.748031496062992,e
118,0.7,24.8,3e-05,0.0,9.5,0.6,0.1,1.27952755905512,d
119,0.0,0.0,0.0,0.00973,0.0,48.6,43.2,0.784,e
120,1.75,1.0,0.0,0.0097,0.0,57.0,51.0,0.99,e
121,1.2425,1.8,2.085e-05,0.0024325,0.0,47.0,41.0,1.118,e
122,2.8,14.08,4.23e-05,0.0,6.34,64.79,7.04,0.718,d
123,3.33,10.0,0.0,0.0,23.3,63.3,0.0,0.833,d
124,5.3,12.28,5.25e-05,0.0,7.89,64.91,3.51,0.702,d
125,2.82,15.5,4.23e-05,0.0,5.64,66.3,7.05,0.607,c
126,2.82,15.5,4.23e-05,0.0,7.04,64.8,7.04,0.761,d
127,10.7,10.7,0.0,0.0,3.57,42.9,7.14,0.357,a
128,4.0,9.9,2.5e-05,3.75e-05,13.6,54.625,3.5,0.759842519685039,e
129,3.57,10.7,0.0,0.0,3.57,75.0,7.14,1.89,c
130,2.791305795431052,7.5054788666454115,0.0007682122314571,0.033032645572519,13.356505203965602,28.027689428190307,13.07710752101757,0.4120567748617073,b
131,13.3,0.0,0.0,0.1610174999999999,0.0,93.3,73.3,0.0,c
132,0.0,5.56,0.0,0.0,1.56,10.4,9.78,0.0444,b
133,3.2,4.8,7.7e-05,0.0,15.9,57.4,27.3,0.169,d
134,3.85,3.85,0.0,0.001035,26.9,61.5,34.6,0.154,e
135,0.0,3.92,0.0,0.0,27.4,62.7,35.3,0.176,e
136,2.33,9.3,0.0,0.0,4.65,51.2,6.98,0.465,a
137,2.35,7.05,0.0,0.0,30.6,61.1,30.6,0.247,e
138,2.94,5.88,0.0,0.0,26.5,64.7,32.4,0.176,e
139,4.0,4.0,0.0,0.0,28.0,64.0,32.0,0.26,e
140,2.33,9.3,0.0,0.0,3.49,51.2,4.65,0.512,b
141,3.7,3.7,0.0,0.001035,18.075000000000003,63.0,33.3,0.167,e
142,4.0,4.0,0.0,0.0,28.0,64.0,32.0,0.16,e
143,0.0,3.85,0.0,0.0,23.1,65.4,38.5,0.231,e
144,0.0,3.85,0.0,0.0,23.1,65.4,38.5,0.231,e
145,0.0,3.57,0.0,0.0,25.0,67.9,28.6,0.375,e
146,2.0,2.0,0.0,0.00625,4.5,23.0,13.0,0.09,b
147,4.0,4.0,0.0,0.0,28.0,64.0,36.0,0.14,e
148,3.85,7.69,0.000115,0.0,19.2,69.2,19.2,0.308,d
149,3.33,10.0,0.0001,0.0,16.7,66.7,3.33,0.8,d
150,3.33,13.3,0.0,0.0,16.7,63.3,3.33,0.9,d
151,3.33,10.0,0.0,0.0,20.0,66.7,3.33,0.767,d
152,3.33,10.0,0.0,0.0,16.7,66.7,0.0,0.833,d
153,3.33,10.0,0.0,0.0,16.7,66.7,0.0,0.833,d
154,5.4,5.1,0.0,0.001035,32.4,57.8,34.0,0.315,e
155,5.8,3.8,0.0,0.0,25.3,66.5,34.8,0.31496062992126,e
156,4.2,4.9,0.0,0.001035,30.4,60.1,32.6,0.275590551181102,e
157,3.6,5.0,0.0,0.001035,31.3,58.7,30.4,0.31496062992126,e
158,5.7,5.3,2.675e-05,0.0,19.2,67.3,41.7,0.196850393700787,e
159,6.5,6.5,0.0,0.0075,14.5,74.2,41.9,0.29,d
160,3.85,3.85,0.0,0.0,26.9,65.4,38.5,0.346,e
161,3.85,3.85,0.0,0.0,26.9,65.4,34.6,0.269,e
162,2.2,4.8,2.675e-05,0.0,17.1,70.8,40.8,0.236220472440945,e
163,2.5,11.6,0.0,0.0,18.1,64.2,1.4,0.748031496062992,d
164,14.525,21.1,0.0,0.0,52.1,10.3,4.9,0.31496062992126,d
165,14.525,21.0,0.0,0.0,52.1,10.3,4.9,0.31496062992126,d
166,5.700000000000001,21.4,0.0,0.0,46.0,17.4,7.8,0.511811023622047,d
167,5.700000000000001,21.4,0.0,0.0,46.0,17.4,7.8,0.511811023622047,d
168,7.65,21.4,2.5e-05,0.001,46.0,27.7,7.8,0.511811023622047,c
169,5.700000000000001,21.4,0.0,0.0,46.0,17.4,7.8,0.984251968503937,e
170,10.425,21.4,0.0,0.0,46.0,17.4,7.8,0.0,c
171,0.0,21.4,0.0001065,0.0013224999999999,46.0,19.975,7.8,0.984251968503937,e
172,5.700000000000001,21.4,0.0,0.0,46.0,17.4,7.8,0.984251968503937,e
173,0.0,20.0,0.0,0.0,45.2,17.3,10.3,0.945,e
174,5.700000000000001,21.4,0.0,0.0,46.0,17.4,7.8,0.511811023622047,d
175,5.700000000000001,21.4,0.0,0.0,46.0,17.4,7.8,0.984251968503937,e
176,10.425,21.4,0.0,0.0,46.0,17.4,7.8,0.0,d
177,4.1,15.2,0.0,0.0003,65.2,13.7,2.6,0.0118110236220472,d
178,0.0,19.0,1.5e-05,0.0003,12.3,0.0,0.0,0.0590551181102362,b
179,0.7,0.6,7.16e-05,0.01575,0.5,18.1,18.1,0.444881889763779,c
180,1.36,4.98,2.71e-05,0.0133,1.81,17.6,2.26,0.262,a
181,0.87,0.0,8.7e-05,0.0104,0.0,3.48,2.61,0.223,b
182,1.5,13.9,4.9e-05,0.0004275,17.3,14.9,2.3,0.267716535433071,d
